problema;num_maquina;num_jobs;modelo;lb_cmax;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID005_M015_J015;15;15;manne;0,0;3375;1801;1161,887752200548;1162,0;1014;False;9,659879470911975e-05;89597757;539193;9900;integer optimal, tolerance;1571,3684639930725;True
ID005_M015_J015;15;15;manne;1162,0;3375;1801;1162,0;1168,0;955;True;0,005136986301369423;476593252;3438101;9900;time limit exceeded;7200,0086460113525;True
ID005_M015_J015;15;15;liao;0,0;1800;3376;1067,0;1175,0;2494;True;0,09191489361701345;188964572;203095;6750;time limit exceeded;7200,643151044846;True
ID005_M015_J015;15;15;liao;1162,0;1800;3376;1162,000000000001;1181,0;2447;True;0,016088060965281526;236048557;2856541;6750;time limit exceeded;7200,013417005539;True
ID005_M015_J015;15;15;liao_desig;0,0;8535;3376;1161,8876262675994;1162,0;2549;False;9,670717074057346e-05;94370283;268239;26295;integer optimal, tolerance;5656,112756967545;True
ID005_M015_J015;15;15;liao_desig;1162,0;8535;3376;1162,0;1167,999999999999;2481;True;0,005136986301368648;105957369;281900;26295;time limit exceeded;7200,011034011841;True
ID005_M015_J015;15;15;minla_fav;0,0;10110;1801;;915,057151941249;1145;False;;3295;0;29445;optimal;0,10491108894348145;False
ID005_M015_J015;15;15;minla_fav;1162,0;10110;1801;;1162,0;1168;False;;2412;0;29445;optimal;0,10090303421020508;False
ID005_M015_J015;15;15;manne;0,0;3375;1801;;849,0;1108;False;;1107;0;9900;optimal;0,020169973373413086;False
ID005_M015_J015;15;15;manne;1162,0;3375;1801;;1162,0;1108;False;;1107;0;9900;optimal;0,020995140075683594;False
ID005_M015_J015;15;15;liao;0,0;1800;3376;;849,0;1788;False;;333;0;6750;optimal;0,007503986358642578;False
ID005_M015_J015;15;15;liao;1162,0;1800;3376;;1162,0;1787;False;;333;0;6750;optimal;0,007528781890869141;False
ID005_M015_J015;15;15;liao_desig;0,0;8535;3376;;915,0571519412489;2687;False;;3470;0;26295;optimal;0,11605095863342285;False
ID005_M015_J015;15;15;liao_desig;1162,0;8535;3376;;1162,0;2635;False;;2066;0;26295;optimal;0,12227201461791992;False
ID006_M015_J015;15;15;minla_fav;0,0;10110;1801;1242,983606557377;1243,0;990;False;1,3188610316156916e-05;17034488;115249;29445;integer optimal, tolerance;680,8959450721741;True
ID006_M015_J015;15;15;minla_fav;1243,0;10110;1801;1243,0;1243,0;991;False;0,0;2143363;49649;29445;integer optimal solution;126,95471000671387;True
ID006_M015_J015;15;15;manne;0,0;3375;1801;1242,9310344827588;1242,9999999999995;1010;False;5,548311926042425e-05;15336692;114607;9900;integer optimal, tolerance;294,3865249156952;True
ID006_M015_J015;15;15;manne;1243,0;3375;1801;1243,0;1243,0;977;False;0,0;11611066;147639;9900;integer optimal solution;215,14804792404175;True
ID006_M015_J015;15;15;liao;0,0;1800;3376;1119,6388043468633;1243,0000000000002;2504;True;0,09924472699366615;183331858;145839;6750;time limit exceeded;7200,009743928909;True
ID006_M015_J015;15;15;liao;1243,0;1800;3376;1243,0000000000005;1243,0000000000005;2494;False;0,0;37360612;453599;6750;integer optimal solution;1046,4453029632568;True
ID006_M015_J015;15;15;liao_desig;0,0;8535;3376;1187,0411148619407;1242,9999999999998;2513;True;0,045019215718467044;113928798;251426;26295;time limit exceeded;7200,01136302948;True
ID006_M015_J015;15;15;liao_desig;1243,0;8535;3376;1243,0;1243,0;2502;False;0,0;41855280;137473;26295;integer optimal solution;2235,053904056549;True
ID006_M015_J015;15;15;minla_fav;0,0;10110;1801;;979,4327546182903;1125;False;;3140;0;29445;optimal;0,08768892288208008;False
