problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID001_M015_J015; liao_desig; 1177.0; 15; 15; False; nan; 1177.0; nan; 8535; 3376; 2572; 2089; 0; 26295; optimal; 0.11373019218444824; False;  
ID002_M015_J015; minla_fav; 0; 15; 15; True; 1196.90625; 1197.0; 7.832080200500598e-05; 10110; 1801; 1008; 172930698; 1187995; 29445; integer optimal, tolerance; 4541.577781915665; False;  
ID002_M015_J015; minla_fav; 1197.0; 15; 15; True; 1197.0; 1197.0; 0.0; 10110; 1801; 1015; 137014784; 903573; 29445; integer optimal solution; 3510.700679063797; False;  
ID002_M015_J015; manne; 0; 15; 15; True; 1196.9024183283839; 1196.999999992; 8.152185765819115e-05; 3375; 1801; 1008; 179317681; 1204368; 9900; integer optimal, tolerance; 2528.7936799526215; False;  
ID002_M015_J015; manne; 1197.0; 15; 15; True; 1197.0; 1197.0; 0.0; 3375; 1801; 1015; 18464966; 188992; 9900; integer optimal solution; 299.3190200328827; False;  
ID002_M015_J015; liao; 0; 15; 15; True; 1060.9999999999986; 1198.0; 0.11435726210349743; 1800; 3376; 2524; 185029956; 201710; 6750; time limit exceeded; 7200.626797914505; True;  
ID002_M015_J015; liao; 1197.0; 15; 15; True; 1197.0000000000005; 1201.0000000000005; 0.0033305578684426854; 1800; 3376; 2505; 153867609; 411670; 6750; time limit exceeded; 7200.010958909988; True;  
ID002_M015_J015; liao_desig; 0; 15; 15; True; 1058.2149788698607; 1204.0; 0.12108390459312889; 8535; 3376; 2519; 114330726; 266826; 26295; time limit exceeded; 7200.996922016144; True;  
ID002_M015_J015; liao_desig; 1197.0; 15; 15; True; 1197.0; 1201.0; 0.0033305578684426867; 8535; 3376; 2523; 126216821; 473382; 26295; time limit exceeded; 7200.0119071006775; True;  
ID002_M015_J015; minla_fav; 0; 15; 15; False; nan; 947.8456375838925; nan; 10110; 1801; 1114; 2800; 0; 29445; optimal; 0.09415102005004883; False;  
ID002_M015_J015; minla_fav; 1197.0; 15; 15; False; nan; 1197.0; nan; 10110; 1801; 1169; 2330; 0; 29445; optimal; 0.08296489715576172; False;  
ID002_M015_J015; manne; 0; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 0; 9900; optimal; 0.02155590057373047; False;  
ID002_M015_J015; manne; 1197.0; 15; 15; False; nan; 1197.0; nan; 3375; 1801; 1146; 1145; 0; 9900; optimal; 0.021646976470947266; False;  
ID002_M015_J015; liao; 0; 15; 15; False; nan; 921.0; nan; 1800; 3376; 1786; 330; 0; 6750; optimal; 0.007542133331298828; False;  
ID002_M015_J015; liao; 1197.0; 15; 15; False; nan; 1197.0; nan; 1800; 3376; 1787; 333; 0; 6750; optimal; 0.010596990585327148; False;  
ID002_M015_J015; liao_desig; 0; 15; 15; False; nan; 947.8456375838925; nan; 8535; 3376; 2643; 2290; 0; 26295; optimal; 0.10134196281433105; False;  
ID002_M015_J015; liao_desig; 1197.0; 15; 15; False; nan; 1197.0; nan; 8535; 3376; 2645; 2158; 0; 26295; optimal; 0.13467788696289062; False;  
ID003_M015_J015; minla_fav; 0; 15; 15; True; 1171.8869565220805; 1172.0; 9.645347945350577e-05; 10110; 1801; 1034; 78962933; 563623; 29445; integer optimal, tolerance; 2175.8175859451294; False;  
ID003_M015_J015; minla_fav; 1172.0; 15; 15; True; 1172.0; 1172.0; 0.0; 10110; 1801; 1029; 170608075; 1264146; 29445; integer optimal solution; 4500.574589967728; False;  
ID003_M015_J015; manne; 0; 15; 15; True; 1171.888888888889; 1171.999999996; 9.480469890059546e-05; 3375; 1801; 1058; 338878608; 2152109; 9900; integer optimal, tolerance; 5875.681874990463; False;  
ID003_M015_J015; manne; 1172.0; 15; 15; True; 1172.0; 1172.0; 0.0; 3375; 1801; 1027; 433889677; 3772810; 9900; integer optimal solution; 6874.593560934067; False;  
ID003_M015_J015; liao; 0; 15; 15; True; 1022.7726044501969; 1180.9999999999998; 0.1339774729464771; 1800; 3376; 2530; 174108994; 202387; 6750; time limit exceeded; 7200.013024806976; True;  
ID003_M015_J015; liao; 1172.0; 15; 15; True; 1172.0000000000007; 1186.0000000000005; 0.011804384485664912; 1800; 3376; 2489; 231426523; 2331677; 6750; time limit exceeded; 7200.0122859478; True;  
ID003_M015_J015; liao_desig; 0; 15; 15; True; 1052.0872111573972; 1181.0; 0.10915562137391355; 8535; 3376; 2575; 101223900; 282003; 26295; time limit exceeded; 7200.951494932175; True;  
ID003_M015_J015; liao_desig; 1172.0; 15; 15; True; 1172.0000000000002; 1188.9999999929983; 0.014297729178382427; 8535; 3376; 2560; 109476234; 343148; 26295; time limit exceeded; 7200.01128411293; True;  
ID003_M015_J015; minla_fav; 0; 15; 15; False; nan; 911.0; nan; 10110; 1801; 1171; 2755; 0; 29445; optimal; 0.09497404098510742; False;  
ID003_M015_J015; minla_fav; 1172.0; 15; 15; False; nan; 1172.0; nan; 10110; 1801; 1095; 2668; 0; 29445; optimal; 0.09445905685424805; False;  
